co_mun;tiposeade;estadual;federal;municipal;particular;total_geral
3500105;Clínica;;;3;18;21
3500105;Consultório Isolado;;;;131;131
3500105;Diagnose e Terapia;;;1;17;18
3500105;Hospital;;;;2;2
3500105;Outros;;;3;2;5
3500105;Unidade Básica de Saúde;;;9;;9
3500105;Unidade de Saúde Mental ;;;1;;1
3500105;Unidade Móvel;1;;1;1;3
3500105;Vigilância em Saúde;;;3;;3
3500204;Clínica;;;1;;1
3500204;Consultório Isolado;;;;1;1
3500204;Diagnose e Terapia;;;;1;1
3500204;Outros;;;1;;1
3500204;Unidade Básica de Saúde;;;1;;1
3500303;Clínica;;;1;3;4
3500303;Consultório Isolado;;;;47;47
3500303;Diagnose e Terapia;;;2;5;7
3500303;Hospital;;;1;;1
3500303;Outros;;;2;4;6
3500303;Pronto Atendimento;;;1;;1
3500303;Unidade Básica de Saúde;1;;6;;7
3500303;Unidade de Saúde Mental ;;;1;;1
3500303;Unidade Móvel;;;1;;1
3500303;Vigilância em Saúde;;;2;;2
3500402;Clínica;;;;1;1
3500402;Consultório Isolado;;;;1;1
3500402;Outros;;;1;;1
3500402;Unidade Básica de Saúde;;;3;;3
3500501;Clínica;;;;7;7
3500501;Consultório Isolado;;;;34;34
3500501;Diagnose e Terapia;;;;4;4
3500501;Hospital;;;;1;1
3500501;Outros;;;2;2;4
3500501;Unidade Básica de Saúde;;;5;;5
3500501;Unidade de Saúde Mental ;;;1;;1
3500550;Consultório Isolado;;;;5;5
3500550;Diagnose e Terapia;;;;1;1
3500550;Outros;;;1;;1
3500550;Unidade Básica de Saúde;;;4;;4
3500600;Consultório Isolado;;;;2;2
3500600;Outros;;;1;;1
3500600;Pronto Atendimento;;;1;;1
3500600;Unidade Básica de Saúde;;;1;;1
3500709;Clínica;;;2;2;4
3500709;Consultório Isolado;;;;25;25
3500709;Diagnose e Terapia;;;;1;1
3500709;Hospital;;;;1;1
3500709;Outros;;;1;;1
3500709;Pronto Atendimento;;;1;;1
3500709;Unidade Básica de Saúde;;;7;;7
3500709;Unidade de Saúde Mental ;;;1;;1
3500709;Unidade Móvel;;;1;;1
3500758;Clínica;;;;1;1
3500758;Consultório Isolado;;;;2;2
3500758;Outros;;;2;;2
3500758;Unidade Básica de Saúde;;;4;;4
3500758;Unidade Móvel;;;1;;1
3500808;Consultório Isolado;;;;2;2
3500808;Outros;;;2;;2
3500808;Unidade Básica de Saúde;;;2;;2
3500808;Vigilância em Saúde;;;2;;2
3500907;Clínica;;;1;;1
3500907;Consultório Isolado;;;;1;1
3500907;Outros;;;2;;2
3500907;Unidade Básica de Saúde;;;3;;3
3500907;Unidade Móvel;;;1;;1
3501004;Clínica;;;3;6;9
3501004;Consultório Isolado;;;;27;27
3501004;Diagnose e Terapia;;;1;;1
3501004;Hospital;;;;1;1
3501004;Outros;;;2;;2
3501004;Unidade Básica de Saúde;;;8;;8
3501004;Unidade Móvel;;;1;;1
3501004;Vigilância em Saúde;;;1;;1
3501103;Clínica;;;1;;1
3501103;Consultório Isolado;;;;2;2
3501103;Hospital;;;1;;1
3501103;Outros;;;1;;1
3501103;Unidade Básica de Saúde;;;3;;3
3501152;Clínica;;;1;6;7
3501152;Consultório Isolado;;;1;4;5
3501152;Diagnose e Terapia;;;;1;1
3501152;Outros;;;2;;2
3501152;Pronto Atendimento;;;1;;1
3501152;Unidade Básica de Saúde;;;2;;2
3501202;Clínica;;;1;;1
3501202;Consultório Isolado;;;;1;1
3501202;Outros;;;1;;1
3501202;Unidade Básica de Saúde;;;3;;3
3501301;Clínica;;;2;3;5
3501301;Consultório Isolado;;;;5;5
3501301;Diagnose e Terapia;;;;4;4
3501301;Hospital;;;;1;1
3501301;Outros;;;3;;3
3501301;Unidade Básica de Saúde;;;7;;7
3501301;Unidade de Saúde Mental ;;;1;;1
3501400;Outros;;;1;;1
3501400;Unidade Básica de Saúde;2;;1;;3
3501509;Outros;;;2;;2
3501509;Unidade Básica de Saúde;;;1;;1
3501608;Clínica;;;4;46;50
3501608;Consultório Isolado;;;;968;968
3501608;Diagnose e Terapia;;;;52;52
3501608;Hospital;;;1;5;6
3501608;Outros;;;5;9;14
3501608;Pronto Atendimento;;;3;;3
3501608;Unidade Básica de Saúde;1;;21;;22
3501608;Unidade de Saúde Mental ;;;3;;3
3501608;Unidade Móvel;1;;;;1
3501608;Vigilância em Saúde;;;1;;1
3501707;Clínica;;;2;3;5
3501707;Consultório Isolado;;;;11;11
3501707;Diagnose e Terapia;;;;1;1
3501707;Hospital;2;;;;2
3501707;Outros;;;6;;6
3501707;Pronto Atendimento;;;;1;1
3501707;Unidade Básica de Saúde;;;6;;6
3501707;Unidade de Saúde Mental ;;;1;;1
3501707;Unidade Móvel;;;2;;2
3501707;Vigilância em Saúde;;;2;;2
3501806;Clínica;;;1;1;2
3501806;Consultório Isolado;;;;3;3
3501806;Diagnose e Terapia;;;;1;1
3501806;Outros;;;1;1;2
3501806;Unidade Básica de Saúde;;;2;;2
3501806;Vigilância em Saúde;;;1;;1
3501905;Clínica;1;;6;18;25
3501905;Consultório Isolado;;;;223;223
3501905;Diagnose e Terapia;;;1;37;38
3501905;Hospital;;;;3;3
3501905;Outros;;;5;6;11
3501905;Pronto Atendimento;;;1;1;2
3501905;Unidade Básica de Saúde;;;16;;16
