cod_ibge;localidades;periodos;leitos_total;leitos_hab;leitos sus;leitos_sus_hab;leitos não sus;leitos_naosus_hab
3500105;Adamantina;2024;195;5,618625022;138;3,976257708;57;1,642367314
3500303;Aguaí;2024;24;0,74941452;24;0,74941452;0;0
3500501;Águas de Lindóia;2024;42;2,341528684;30;1,672520488;12;0,669008195
3500709;Agudos;2024;54;1,427099025;38;1,004254869;16;0,422844156
3501004;Altinópolis;2024;21;1,244223249;19;1,125725797;2;0,118497452
3501103;Alto Alegre;2024;22;5,790997631;19;5,001316136;3;0,789681495
3501152;Alumínio;2024;120;6,945650287;0;0;120;6,945650287
3501301;Álvares Machado;2024;18;0,654664484;16;0,581923986;2;0,072740498
3501608;Americana;2024;411;1,720896541;143;0,598754758;268;1,122141783
3501707;Américo Brasiliense;2024;245;7,480230819;245;7,480230819;0;0
3501905;Amparo;2024;374;5,498787032;220;3,234580607;154;2,264206425
3502101;Andradina;2024;92;1,533026728;53;0,883156702;39;0,649870026
3502200;Angatuba;2024;57;2,363870112;54;2,239455895;3;0,124414216
3502507;Aparecida;2024;92;2,850768468;49;1,518344075;43;1,332424393
3502606;Aparecida d'Oeste;2024;13;3,219415552;12;2,971768202;1;0,24764735
3502705;Apiaí;2024;51;2,083588675;45;1,838460596;6;0,245128079
3502804;Araçatuba;2024;413;2,054184717;264;1,313086599;149;0,741098118
3502903;Araçoiaba da Serra;2024;330;10,05300676;0;0;330;10,05300676
3503109;Arandu;2024;6;0,86517664;6;0,86517664;0;0
3503208;Araraquara;2024;498;2,037968416;268;1,096738023;230;0,941230393
3503307;Araras;2024;422;3,209955426;228;1,734288713;194;1,475666712
3503406;Arealva;2024;26;3,190184049;15;1,840490798;11;1,349693252
3503802;Artur Nogueira;2024;8;0,153952737;8;0,153952737;0;0
3503901;Arujá;2024;36;0,411569681;36;0,411569681;0;0
3504008;Assis;2024;277;2,72463483;151;1,48527025;126;1,23936458
3504107;Atibaia;2024;310;1,925956299;66;0,410042309;244;1,515913991
3504206;Auriflama;2024;44;3,227226053;35;2,567111633;9;0,66011442
3504503;Avaré;2024;178;1,907435785;132;1,414502942;46;0,492932843
3504909;Bananal;2024;15;1,510726156;15;1,510726156;0;0
3505203;Bariri;2024;58;1,837187203;45;1,425403864;13;0,411783339
3505302;Barra Bonita;2024;51;1,491969693;36;1,053155077;15;0,438814615
3505500;Barretos;2024;486;3,946022312;413;3,353307027;73;0,592715286
3505708;Barueri;2024;621;1,930537939;495;1,538834589;126;0,39170335
3505807;Bastos;2024;30;1,392822322;18;0,835693393;12;0,557128929
3505906;Batatais;2024;133;2,275449102;101;1,727972626;32;0,547476476
3506003;Bauru;2024;1291;3,386709199;701;1,838948992;590;1,547760207
3506102;Bebedouro;2024;179;2,344804098;139;1,820825528;40;0,523978569
3506300;Bernardino de Campos;2024;27;2,317596567;27;2,317596567;0;0
3506359;Bertioga;2024;49;0,749533454;49;0,749533454;0;0
3506409;Bilac;2024;36;4,926782537;35;4,789927467;1;0,13685507
3506508;Birigui;2024;150;1,255272143;66;0,552319743;84;0,7029524
3506607;Biritiba Mirim;2024;13;0,437872613;13;0,437872613;0;0
3506706;Boa Esperança do Sul;2024;16;1,240791004;15;1,163241566;1;0,077549438
3506805;Bocaina;2024;18;1,598437084;18;1,598437084;0;0
3507001;Boituva;2024;67;1,079704773;52;0,837979824;15;0,241724949
3507100;Bom Jesus dos Perdões;2024;11;0,496210754;11;0,496210754;0;0
3507407;Borborema;2024;26;1,834344575;16;1,128827431;10;0,705517144
3507506;Botucatu;2024;820;5,607527764;511;3,49444718;309;2,113080584
3507605;Bragança Paulista;2024;364;2,033746787;202;1,128617723;162;0,905129065
3507902;Brotas;2024;41;1,7059876;35;1,456330878;6;0,249656722
3508108;Buritama;2024;38;2,195136041;24;1,38640171;14;0,808734331
3508405;Cabreúva;2024;66;1,391993926;15;0,316362256;51;1,07563167
3508504;Caçapava;2024;478;4,937608462;428;4,421122221;50;0,516486241
3508603;Cachoeira Paulista;2024;31;0,980888495;31;0,980888495;0;0
3508702;Caconde;2024;53;3,126290332;53;3,126290332;0;0
3508801;Cafelândia;2024;45;2,708559047;34;2,046466835;11;0,662092211
3509007;Caieiras;2024;142;1,4882512;81;0,848932023;61;0,639319177
3509205;Cajamar;2024;139;1,46636847;39;0,411427125;100;1,054941345
3509304;Cajobi;2024;32;3,533568905;27;2,981448763;5;0,552120141
3509403;Cajuru;2024;140;5,883588989;55;2,31140996;85;3,572179029
3509502;Campinas;2024;2846;2,496200005;1380;1,210385104;1466;1,285814901
3509601;Campo Limpo Paulista;2024;54;0,69529389;54;0,69529389;0;0
3509700;Campos do Jordão;2024;195;4,167824396;185;3,954089811;10;0,213734584
3510005;Cândido Mota;2024;30;1,022529739;25;0,852108115;5;0,170421623
3510203;Capão Bonito;2024;45;0,972678541;37;0,799757911;8;0,172920629
3510302;Capela do Alto;2024;45;1,935650379;0;0;45;1,935650379
3510401;Capivari;2024;104;2,075848303;61;1,21756487;43;0,858283433
3510500;Caraguatatuba;2024;327;2,381698071;259;1,886421408;68;0,495276663
3510609;Carapicuíba;2024;247;0,638873513;220;0,569037137;27;0,069836376
3510708;Cardoso;2024;31;2,744091352;10;0,885190759;21;1,858900593
3510807;Casa Branca;2024;247;8,812615955;239;8,527187099;8;0,285428857
3511003;Castilho;2024;31;1,543824701;30;1,494023904;1;0,049800797
3511102;Catanduva;2024;624;5,38827532;373;3,220876113;251;2,167399207
3511409;Cerqueira César;2024;38;1,748573532;35;1,610528253;3;0,138045279
3511508;Cerquilho;2024;38;0,845308538;26;0,578368999;12;0,266939538
3511607;Cesário Lange;2024;27;1,398528955;23;1,19133948;4;0,207189475
3511706;Charqueada;2024;35;2,252977148;26;1,673640167;9;0,579336981
3511904;Clementina;2024;24;3,452740613;21;3,021148036;3;0,431592577
3512001;Colina;2024;54;2,910580499;41;2,209885194;13;0,700695305
3512100;Colômbia;2024;20;3,003003003;20;3,003003003;0;0
3512209;Conchal;2024;50;1,77041286;40;1,416330288;10;0,354082572
3512308;Conchas;2024;15;0,993048659;14;0,926845415;1;0,066203244
3512605;Coronel Macedo;2024;2;0,475963827;2;0,475963827;0;0
3512704;Corumbataí;2024;2;0,475511175;2;0,475511175;0;0
3512803;Cosmópolis;2024;61;1,021655752;34;0,569447468;27;0,452208284
3513009;Cotia;2024;443;1,585846943;138;0,494011011;305;1,091835931
3513108;Cravinhos;2024;15;0,450815977;13;0,39070718;2;0,060108797
3513405;Cruzeiro;2024;121;1,623529096;83;1,113660454;38;0,509868642
3513504;Cubatão;2024;109;0,977149056;109;0,977149056;0;0
3513603;Cunha;2024;40;1,809136137;25;1,130710086;15;0,678426052
3513702;Descalvado;2024;40;1,258574036;25;0,786608772;15;0,471965263
3513801;Diadema;2024;488;1,244186995;449;1,144754018;39;0,099432977
3513900;Divinolândia;2024;186;16,72661871;186;16,72661871;0;0
3514106;Dois Córregos;2024;67;2,742080707;47;1,923549153;20;0,818531554
3514304;Dourado;2024;10;1,241619071;10;1,241619071;0;0
3514403;Dracena;2024;143;3,138098269;108;2,370032259;35;0,76806601
3514502;Duartina;2024;87;7,054816737;77;6,243918261;10;0,810898476
3514809;Eldorado;2024;2;0,155195158;2;0,155195158;0;0
3514908;Elias Fausto;2024;6;0,33675703;6;0,33675703;0;0
3515004;Embu das Artes;2024;99;0,395146484;89;0,355232697;10;0,039913786
3515103;Embu-Guaçu;2024;15;0,223950791;15;0,223950791;0;0
3515186;Espírito Santo do Pinhal;2024;696;17,58375019;617;15,58789349;79;1,995856703
3515202;Estrela d'Oeste;2024;51;5,368986209;12;1,263290873;39;4,105695336
